transaction_id,account_id,customer_name,date,transaction_type,amount,channel,balance
TXN1000,ACC102,Rahul,2023-01-01 00:00:00,Credit,4513.17,ATM,4513.17
TXN1001,ACC101,Rahul,2023-01-01 01:00:00,Credit,7533.94,ATM,12047.11
TXN1002,ACC101,Priya,2023-01-01 02:00:00,Credit,1073.63,Card,13120.740000000002
TXN1003,ACC102,Rahul,2023-01-01 03:00:00,Credit,3669.21,Card,16789.95
TXN1004,ACC102,Rahul,2023-01-01 04:00:00,Debit,5680.69,NetBanking,22470.64
TXN1005,ACC101,Priya,2023-01-01 05:00:00,Credit,2462.0,Card,24932.64
TXN1006,ACC101,Ravi,2023-01-01 06:00:00,Debit,8415.54,UPI,33348.18
TXN1007,ACC102,Anita,2023-01-01 07:00:00,Debit,7681.92,NetBanking,41030.1
TXN1008,ACC101,Anita,2023-01-01 08:00:00,Credit,9658.87,Card,50688.97
TXN1009,ACC102,Anita,2023-01-01 09:00:00,Credit,5277.58,ATM,55966.55
TXN1010,ACC101,Priya,2023-01-01 10:00:00,Credit,1154.59,UPI,57121.14
TXN1011,ACC103,Rahul,2023-01-01 11:00:00,Credit,9372.51,NetBanking,66493.65
TXN1012,ACC102,Rahul,2023-01-01 12:00:00,Debit,8358.94,UPI,74852.59
TXN1013,ACC103,Rahul,2023-01-01 13:00:00,Credit,5489.74,UPI,80342.33
TXN1014,ACC101,Ravi,2023-01-01 14:00:00,Credit,8379.39,NetBanking,88721.72
TXN1015,ACC103,Priya,2023-01-01 15:00:00,Debit,8828.74,Card,97550.46
TXN1016,ACC102,Anita,2023-01-01 16:00:00,Debit,7783.2,Card,105333.66
TXN1017,ACC103,Rahul,2023-01-01 17:00:00,Credit,5755.41,UPI,111089.07
TXN1018,ACC101,Rahul,2023-01-01 18:00:00,Credit,6191.46,UPI,117280.53000000001
TXN1019,ACC101,Anita,2023-01-01 19:00:00,Credit,8459.47,ATM,125740.00000000001
TXN1020,ACC103,Rahul,2023-01-01 20:00:00,Credit,6259.94,Card,131999.94
TXN1021,ACC101,Anita,2023-01-01 21:00:00,Debit,2144.15,ATM,134144.09
TXN1022,ACC102,Ravi,2023-01-01 22:00:00,Debit,6945.74,Card,141089.83
TXN1023,ACC103,Ravi,2023-01-01 23:00:00,Debit,5366.94,NetBanking,146456.77
TXN1024,ACC103,Rahul,2023-01-02 00:00:00,Credit,2706.15,Card,149162.91999999998
TXN1025,ACC101,Anita,2023-01-02 01:00:00,Debit,107.79,NetBanking,149270.71
TXN1026,ACC102,Priya,2023-01-02 02:00:00,Debit,2431.43,UPI,151702.13999999998
TXN1027,ACC102,Ravi,2023-01-02 03:00:00,Debit,6768.31,ATM,158470.44999999998
TXN1028,ACC103,Anita,2023-01-02 04:00:00,Credit,8795.37,ATM,167265.81999999998
TXN1029,ACC101,Rahul,2023-01-02 05:00:00,Credit,8323.96,Card,175589.77999999997
TXN1030,ACC103,Ravi,2023-01-02 06:00:00,Debit,1170.26,Card,176760.03999999998
TXN1031,ACC102,Rahul,2023-01-02 07:00:00,Debit,804.14,ATM,177564.18
TXN1032,ACC102,Ravi,2023-01-02 08:00:00,Debit,7639.76,ATM,185203.94
TXN1033,ACC102,Rahul,2023-01-02 09:00:00,Debit,2919.85,Card,188123.79
TXN1034,ACC102,Ravi,2023-01-02 10:00:00,Credit,2790.85,Card,190914.64
TXN1035,ACC103,Anita,2023-01-02 11:00:00,Credit,119.8,Card,191034.44
TXN1036,ACC102,Rahul,2023-01-02 12:00:00,Debit,1075.54,NetBanking,192109.98
TXN1037,ACC102,Priya,2023-01-02 13:00:00,Debit,1442.41,UPI,193552.39
TXN1038,ACC101,Priya,2023-01-02 14:00:00,Credit,1677.67,ATM,195230.06000000003
TXN1039,ACC101,Anita,2023-01-02 15:00:00,Debit,4508.6,Card,199738.66000000003
TXN1040,ACC102,Anita,2023-01-02 16:00:00,Credit,8159.94,UPI,207898.60000000003
TXN1041,ACC101,Ravi,2023-01-02 17:00:00,Debit,8141.75,Card,216040.35000000003
TXN1042,ACC101,Ravi,2023-01-02 18:00:00,Credit,9108.9,UPI,225149.25000000003
TXN1043,ACC102,Ravi,2023-01-02 19:00:00,Debit,4491.56,ATM,229640.81000000003
TXN1044,ACC103,Anita,2023-01-02 20:00:00,Credit,7116.23,NetBanking,236757.04000000004
TXN1045,ACC102,Rahul,2023-01-02 21:00:00,Credit,4934.51,UPI,241691.55000000005
TXN1046,ACC101,Anita,2023-01-02 22:00:00,Debit,593.44,NetBanking,242284.99000000005
TXN1047,ACC103,Ravi,2023-01-02 23:00:00,Credit,896.27,UPI,243181.26000000004
TXN1048,ACC103,Ravi,2023-01-03 00:00:00,Debit,2534.83,UPI,245716.09000000003
TXN1049,ACC102,Ravi,2023-01-03 01:00:00,Debit,9818.06,NetBanking,255534.15000000002
TXN1050,ACC102,Anita,2023-01-03 02:00:00,Credit,6949.98,Card,262484.13
TXN1051,ACC102,Priya,2023-01-03 03:00:00,Credit,2753.28,ATM,265237.41000000003
