Employee ID,Employee Name,Employee Position,Salary,Age,Gender,Department,Hire Date
178,Christopher Reilly,employee,99280.0,44.48,Male,Accounts,2020-07-28 00:00:00
2,Jennifer Newton,employee,66717.0,44.48,Male,Management,2018-11-04 00:00:00
42,Dakota Khan,Administrator,87759.0,56.0,Female,Accounts,2023-03-30 00:00:00
177,Nancy Long,Techies,75973.0,59.0,Male,Management,2018-06-27 00:00:00
55,Jeffrey Miller,Techies,67856.0,45.0,Male,Administration,2022-03-19 00:00:00
46,Elizabeth Tanner,Manager,89041.0,44.48,Male,Accounts,2019-05-15 00:00:00
5,Shawn Harrington,Techies,74446.0,44.48,Female,Accounts,2022-12-05 00:00:00
44,Matthew Knapp,employee,72556.0,42.0,Female,Sales,2022-12-10 00:00:00
83,Jessica Shepherd,employee,10.0,32.0,Female,Accounts,2019-10-25 00:00:00
111,Anna Logan,Manager,65501.0,57.0,Male,Management,2017-11-07 00:00:00
59,Michele Black,Manager,90034.0,36.0,Male,Administration,2018-10-15 00:00:00
10,Tammy Johnson,Administrator,83700.0,42.0,Male,Accounts,Invalid Date
14,Lisa Lara,employee,95005.0,45.0,Male,Management,2023-02-03 00:00:00
158,Amanda Wise,Administrator,98996.0,48.0,Female,Accounts,2022-12-08 00:00:00
26,Matthew Lane,employee,89735.0,30.0,Female,Administration,2020-11-01 00:00:00
107,John Kelly,Manager,83052.0,49.0,Female,Management,2019-01-06 00:00:00
186,Ryan Carlson,Techies,61005.0,39.0,Female,Sales,2022-08-16 00:00:00
88,Raymond Williams,Manager,79914.0,48.0,Male,Management,2018-05-17 00:00:00
194,Mary Burns,Techies,97088.0,41.0,Male,Sales,2022-05-24 00:00:00
114,Angelica Hamilton,Administrator,87627.0,46.0,Male,Management,2019-06-30 00:00:00
181,Michelle Pierce,Techies,82618.0,51.0,Female,Management,2018-02-08 00:00:00
170,Gary Blanchard,Manager,72293.0,44.48,Female,Administration,2021-09-04 00:00:00
110,Holly Fields,employee,90630.0,38.0,Male,Management,2018-07-09 00:00:00
33,Tony Martin,employee,77370.0,44.48,Female,Sales,2018-11-15 00:00:00
138,Jennifer Lee,Administrator,75108.0,37.0,Male,Human_Resources,2020-10-27 00:00:00
61,Anthony Perez,Manager,76009.0,53.0,Others,Sales,2022-02-21 00:00:00
197,James Avila,Administrator,60615.0,59.0,Female,Administration,2020-09-02 00:00:00
57,Lacey Bell,employee,80590.0,45.0,Female,Management,2022-01-21 00:00:00
183,Walter Mcguire,Techies,62860.0,50.0,Female,Management,2023-06-20 00:00:00
131,Mariah Bryant,Administrator,76931.0,51.0,Female,Administration,2019-09-14 00:00:00
